"PlantID"	"PlantName"	"Year"	"PhaseI"	"Energy"	"SO2"	"NOX"	"Capital"	"Labor"	"CoalHeat"	"OilHeat"	"GasHeat"	"NetCons"	"GrossCons"	"PolYr"
"4162"	"              Naughton"	"85"	"0"	"10.9486466"	"  50.707890"	" 43.4373151"	"177.09109"	"255"	" 32.6029726"	"0.0448538167"	"1.023704e-01"	" 21.8015502"	" 32.7501968"	"0"
"6002"	"   James H. Miller Jr."	"85"	"0"	"13.1298986"	"  58.992438"	" 39.8663836"	"361.71470"	"330"	" 37.6924312"	"0.4269069458"	"0.000000e+00"	" 24.9894395"	" 38.1193382"	"0"
"6004"	"             Pleasants"	"85"	"0"	"19.6979890"	"  96.268904"	" 73.6895068"	"408.30852"	"257"	" 57.8854647"	"0.1835497599"	"0.000000e+00"	" 38.3710254"	" 58.0690144"	"0"
"6016"	"            Duck Creek"	"85"	"0"	" 5.3283808"	"  23.463863"	" 20.0767945"	"158.51704"	"114"	" 16.1300727"	"0.0193361811"	"0.000000e+00"	" 10.8210281"	" 16.1494089"	"0"
"6017"	"                Newton"	"85"	"0"	"11.7898521"	"  37.893890"	" 27.2453425"	"345.84437"	"243"	" 35.0995519"	"0.1098347349"	"0.000000e+00"	" 23.4195346"	" 35.2093867"	"0"
"6095"	"                Sooner"	"85"	"0"	"12.8104932"	"  39.061808"	" 55.7999178"	"219.90044"	"264"	" 38.9403636"	"0.0172705971"	"0.000000e+00"	" 26.1471410"	" 38.9576342"	"0"
"6139"	"                 Welsh"	"85"	"0"	"21.5040027"	"  93.203370"	"150.6080274"	"213.26483"	"132"	" 64.9082047"	"0.1303120333"	"0.000000e+00"	" 43.5345140"	" 65.0385168"	"0"
"6146"	"           Martin Lake"	"85"	"0"	"37.9639425"	" 104.527699"	"114.9447123"	"431.95878"	"700"	"125.6857345"	"0.4314259102"	"0.000000e+00"	" 88.1532179"	"126.1171604"	"0"
"6147"	"            Monticello"	"85"	"0"	"36.0542192"	" 223.911507"	"116.3131781"	"320.58009"	"528"	"118.9580690"	"0.4346837110"	"0.000000e+00"	" 83.3385336"	"119.3927527"	"0"
"6155"	"           Rush Island"	"85"	"0"	"16.1620493"	" 158.958630"	" 56.5675068"	"248.86803"	"270"	" 46.4081887"	"0.0517470973"	"0.000000e+00"	" 30.2978864"	" 46.4599358"	"0"
"6178"	"          Coleto Creek"	"85"	"0"	"10.9659151"	"  32.212575"	" 35.1926849"	"132.00356"	"121"	" 30.1970162"	"0.0356267163"	"0.000000e+00"	" 19.2667278"	" 30.2326429"	"0"
"6193"	"            Harrington"	"85"	"0"	"18.8904904"	"  55.888986"	" 79.9076986"	"193.28753"	"165"	" 55.7108593"	"0.0000000000"	"2.259628e-01"	" 37.0463318"	" 55.9368222"	"0"
"6248"	"                Pawnee"	"85"	"0"	" 8.2396740"	"  31.640411"	" 57.6634795"	"203.85997"	"123"	" 25.6747740"	"0.0781594309"	"0.000000e+00"	" 17.5132594"	" 25.7529334"	"0"
"6264"	"           Mountaineer"	"85"	"0"	"19.3801096"	"  82.736822"	" 55.8777808"	"318.24069"	"247"	" 53.3406591"	"0.1978050263"	"0.000000e+00"	" 34.1583545"	" 53.5384641"	"0"
"8042"	"          Belews Creek"	"85"	"0"	"31.4314767"	" 199.569945"	"125.3889589"	"272.08285"	"182"	" 83.3846697"	"0.1357000615"	"0.000000e+00"	" 52.0888931"	" 83.5203698"	"0"
"8102"	"General James M. Gavin"	"85"	"1"	"33.5379808"	" 974.037315"	"164.9046027"	"486.41585"	"365"	" 99.1814547"	"0.1545973264"	"0.000000e+00"	" 65.7980712"	" 99.3360520"	"0"
"8226"	"              Cheswick"	"85"	"1"	" 8.7808849"	" 112.289945"	" 27.1374247"	"169.81546"	"161"	" 26.0247073"	"0.1214057252"	"0.000000e+00"	" 17.3652281"	" 26.1461130"	"0"
"   3"	"                 Barry"	"86"	"0"	"25.4621644"	" 146.919342"	" 77.3279726"	"350.47512"	"455"	" 72.2982463"	"0.0380745658"	"5.505009e-01"	" 47.4246574"	" 72.8868218"	"0"
"   8"	"                Gorgas"	"86"	"0"	"19.4374247"	" 194.232082"	" 65.1751781"	"331.89295"	"541"	" 60.1297435"	"0.1021190957"	"0.000000e+00"	" 40.7944380"	" 60.2318626"	"0"
" 470"	"              Comanche"	"86"	"0"	" 9.4321315"	"  33.292630"	" 43.7966849"	"168.00021"	"110"	" 28.6066020"	"0.0680927082"	"1.271106e-02"	" 19.2552743"	" 28.6874058"	"0"
" 602"	"        Brandon Shores"	"86"	"0"	" 9.6633452"	"  51.420959"	" 29.6809041"	"225.44024"	"120"	" 28.6792545"	"0.1479370157"	"0.000000e+00"	" 19.1638463"	" 28.8271915"	"0"
" 641"	"                 Crist"	"86"	"1"	" 9.8798767"	" 233.074795"	" 44.6156438"	"262.38042"	"226"	" 30.5141965"	"0.0244571135"	"7.433876e-01"	" 21.4021644"	" 31.2820411"	"0"
" 708"	"               Hammond"	"86"	"1"	"13.6634822"	" 185.069041"	" 62.4910685"	"182.10068"	"306"	" 41.7558657"	"0.0577096147"	"0.000000e+00"	" 28.1500931"	" 41.8135753"	"0"
" 709"	"        Harllee Branch"	"86"	"0"	"26.8939178"	" 285.233945"	"129.0251781"	"298.97850"	"476"	" 85.5006504"	"0.0396028521"	"0.000000e+00"	" 58.6463354"	" 85.5402533"	"0"
" 728"	"                 Yates"	"86"	"1"	"17.4186904"	" 349.440110"	" 59.1336164"	"287.17720"	"439"	" 53.6374038"	"0.0721909779"	"0.000000e+00"	" 36.2909044"	" 53.7095948"	"0"
" 856"	"          E.D. Edwards"	"86"	"0"	" 9.4563452"	"  61.010959"	" 39.4372055"	"186.00663"	"153"	" 27.3200549"	"0.0302484615"	"0.000000e+00"	" 17.8939582"	" 27.3503034"	"0"
" 861"	"               Coffeen"	"86"	"1"	"10.2817123"	" 373.690740"	" 87.3582740"	"219.60951"	"290"	" 32.5309143"	"0.0257088847"	"0.000000e+00"	" 22.2749108"	" 32.5566231"	"0"
" 862"	"           Grand Tower"	"86"	"1"	" 1.9996726"	"  49.921205"	" 10.3665753"	" 88.09271"	"102"	"  6.3444957"	"0.0083920747"	"0.000000e+00"	"  4.3532151"	"  6.3528877"	"0"
" 863"	"           Hutonsville"	"86"	"0"	" 2.8054589"	"  64.971589"	" 10.0327671"	" 68.17033"	" 93"	"  8.6397003"	"0.0110015732"	"0.000000e+00"	"  5.8452430"	"  8.6507019"	"0"
" 864"	"             Meredosia"	"86"	"1"	" 3.5814162"	"  82.496548"	" 12.2651507"	"132.94728"	"147"	" 10.5328976"	"0.1361968930"	"0.000000e+00"	"  7.0876783"	" 10.6690945"	"0"
" 876"	"               Kincaid"	"86"	"1"	"13.6336082"	" 470.238603"	"121.8896986"	"265.91944"	"333"	" 44.4585347"	"0.0000000000"	"6.069609e-02"	" 30.8856226"	" 44.5192308"	"0"
" 879"	"              Powerton"	"86"	"0"	"14.2009753"	"  74.674740"	" 72.5843288"	"569.14389"	"417"	" 47.3987458"	"0.0000000000"	"9.049447e-02"	" 33.2882649"	" 47.4892402"	"0"
" 887"	"           Joppa Steam"	"86"	"1"	"14.4138822"	" 243.638274"	" 48.6826301"	"364.40214"	"363"	" 44.2255296"	"0.0292515812"	"0.000000e+00"	" 29.8408989"	" 44.2547811"	"0"
" 889"	"               Baldwin"	"86"	"1"	"28.2541378"	" 713.115753"	"176.9597808"	"346.27973"	"266"	" 83.2175721"	"0.0830975285"	"0.000000e+00"	" 55.0465319"	" 83.3006697"	"0"
" 983"	"          Clifty Creek"	"86"	"1"	"26.6674740"	" 724.546712"	"178.6439726"	"342.32657"	"389"	" 76.2763735"	"0.0110077245"	"0.000000e+00"	" 49.6199072"	" 76.2873812"	"0"
" 988"	"         Tanners Creek"	"86"	"1"	"10.0977918"	" 171.781753"	" 58.3868219"	"329.59531"	"325"	" 28.3401291"	"0.1624603424"	"0.000000e+00"	" 18.4047977"	" 28.5025895"	"0"
" 991"	"        H.T. Pritchard"	"86"	"1"	" 1.6277671"	"  40.727041"	"  6.1127945"	"111.94213"	" 95"	"  5.3745226"	"0.0440646228"	"0.000000e+00"	"  3.7908201"	"  5.4185873"	"0"
" 994"	"           Petersburgh"	"86"	"1"	"23.1507808"	" 284.758630"	" 73.8134247"	"546.80709"	"324"	" 71.4276928"	"0.1326626411"	"0.000000e+00"	" 48.4095746"	" 71.5603554"	"0"
"1004"	"           Edwardsport"	"86"	"0"	" 0.1614973"	"   4.638795"	"  1.0915068"	" 65.57480"	" 73"	"  0.6313678"	"0.0120127190"	"0.000000e+00"	"  0.4818832"	"  0.6433805"	"0"
"1008"	"          R. Gallagher"	"86"	"1"	" 3.9498838"	" 110.851041"	" 20.4908219"	"143.86054"	"163"	" 12.5746840"	"0.1131967753"	"0.000000e+00"	"  8.7379970"	" 12.6878808"	"0"
"1012"	"           F.B. Culley"	"86"	"1"	" 3.8607735"	" 109.515973"	" 20.2514247"	"100.08756"	" 75"	" 11.5892177"	"0.0013992356"	"1.052209e-02"	"  7.7403656"	" 11.6011391"	"0"
"1047"	"               Lansing"	"86"	"0"	" 3.3467796"	"  20.624301"	" 24.2311781"	" 94.32810"	" 55"	" 11.2143522"	"0.0321058633"	"0.000000e+00"	"  7.8996785"	" 11.2464581"	"0"
"1250"	"              Lawrence"	"86"	"0"	" 3.4299123"	"  11.800164"	" 14.4057534"	"115.57893"	"135"	" 12.0177697"	"0.0000000000"	"3.031390e-01"	"  8.8909963"	" 12.3209086"	"0"
"1355"	"            E.W. Brown"	"86"	"1"	" 8.4411918"	" 167.906658"	" 32.2629589"	"128.52875"	"138"	" 27.3234354"	"0.0368273138"	"0.000000e+00"	" 18.9190710"	" 27.3602627"	"0"
"1356"	"                 Ghent"	"86"	"1"	"19.0033205"	" 211.423096"	" 68.0314521"	"393.69540"	"233"	" 58.6246367"	"0.1409582296"	"0.000000e+00"	" 39.7622743"	" 58.7655949"	"0"
"1357"	"           Green River"	"86"	"1"	" 2.5295918"	"  52.587068"	" 13.6932877"	" 72.52794"	"106"	"  8.5613307"	"0.0070012366"	"0.000000e+00"	"  6.0387401"	"  8.5683319"	"0"
"1364"	"            Mill Creek"	"86"	"0"	"18.6175479"	"  55.108301"	" 74.5469041"	"335.27425"	"521"	" 56.4220800"	"0.1477814001"	"1.472422e-01"	" 38.0995557"	" 56.7171036"	"0"
"1570"	"            R.P. Smith"	"86"	"0"	" 1.0671452"	"   9.370438"	"  3.9148219"	" 59.26359"	" 64"	"  3.4055212"	"0.0180696655"	"0.000000e+00"	"  2.3564457"	"  3.4235909"	"0"
"1606"	"             Mount Tom"	"86"	"0"	" 2.9536849"	"  28.499370"	" 11.8811233"	" 38.08880"	" 68"	"  8.3757889"	"0.0000000000"	"0.000000e+00"	"  5.4221040"	"  8.3757889"	"0"
