fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Jacob Rosales,"5' 11""",155,,Orthodox,28-Jul-95,6.76,0.49,12,0.41,0.59,0,0.00,0.50,0.50,1.3
Devin Smyth,"5' 10""",170,72,Switch,21-Jul-95,2.6,0.68,6.73,0.25,0.75,4,0.26,1.00,0.00,0
Joe Giannetti,"6' 0""",155,74,Southpaw,5-Jul-95,1.93,0.38,2.8,0.40,0.60,1,0.16,0.00,1.00,0
Jacob Kilburn,"5' 9""",145,72,Orthodox,28-Jun-95,2.56,0.33,6.78,0.35,0.65,0.51,0.05,0.20,0.80,0.5
Cheyanne Buys,"5' 3""",115,63,Switch,25-Jun-95,4.1,0.53,1.67,0.65,0.35,0,0.00,0.60,0.40,0
Kyler Phillips,"5' 8""",135,72,Orthodox,12-Jun-95,5.32,0.46,3.04,0.61,0.39,2.88,0.63,0.71,0.29,0.4
Gloria de Paula,"5' 5""",115,67,Orthodox,10-Jun-95,3.33,0.54,1.2,0.70,0.30,0,0.00,0.71,0.29,1
Damonte Robinson,"6' 0""",155,77,,10-Jun-95,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Jordan Leavitt,"5' 9""",155,71,Southpaw,2-Jun-95,1.08,0.55,0.43,0.75,0.25,6.5,0.66,0.00,1.00,3.2
Jose Johnson,"6' 0""",135,72,Orthodox,25-May-95,1,0.46,1.87,0.51,0.49,0,0.00,0.29,0.71,0
Khadis Ibragimov,"6' 3""",205,78,Orthodox,21-May-95,3.55,0.49,4.26,0.47,0.53,0.97,0.30,0.80,0.20,0.3
Kelly Velasco,"5' 9""",135,,Orthodox,21-May-95,2.27,0.35,5.67,0.47,0.53,0,0.00,1.00,0.00,0
Jalin Turner,"6' 3""",155,77,Southpaw,18-May-95,6.2,0.47,4.37,0.45,0.55,0.71,0.66,0.78,0.22,1.8
Gillian Robertson,"5' 5""",125,63,Orthodox,17-May-95,2.05,0.51,2.1,0.51,0.49,2.64,0.46,0.00,1.00,0.9
Yoshinori Horie,"5' 8""",145,70,Orthodox,10-May-95,2.76,0.49,5.65,0.48,0.52,0,0.00,0.00,1.00,0
Mason Jones,"5' 10""",155,,Orthodox,26-Apr-95,7.8,0.37,7.2,0.47,0.53,1,0.25,0.66,0.34,0
Jerome Rivera,"5' 10""",145,72,Southpaw,22-Apr-95,3.08,0.34,2.47,0.51,0.49,0,0.00,0.40,0.60,0
Nate Smith,"5' 6""",125,69,Switch,9-Apr-95,1.28,0.38,2.04,0.35,0.65,0,0.00,0.33,0.67,2.3
Hu Yaozong,"6' 3""",205,72,Orthodox,7-Apr-95,4.43,0.52,5.23,0.38,0.62,0,0.00,0.00,1.00,0.7
Thiago Moises,"5' 9""",155,70,Orthodox,23-Mar-95,2.85,0.37,3.88,0.60,0.40,1.06,0.33,0.63,0.37,1.2
