ID,Course,Age,Dept,Treatment,Score,,
117839333,46931,23,NRSG,Instructor Incentives,83,,
344212989,47184,20,BUSN,Control,62,,
546389473,34664,25,COMM,Control,88,,
525390693,20245,20,PSYC,Instructor Incentives,72,,
363288557,44062,20,ENGL,Control,44,,
866229963,33535,20,ENGL,Control,0,,
828847804,34487,21,ENGL,Instructor Incentives,84,,
945380840,36068,19,ENGL,Control,64,,
570608410,33209,41,BUSN,Instructor Incentives,93,,
962072241,32136,17,COMM,Instructor Incentives,78,,
808247114,32698,19,ACCT,Instructor Incentives,67,,
593508317,34993,24,MATH,Control,90,,
308752327,35104,24,HLHS,Instructor Incentives,83,,
812654658,36678,18,COMM,Control,38,,
939117524,35003,20,MATH,Instructor Incentives,63,,
775717202,46256,20,HLHS,Instructor Incentives,46,,
678251963,47198,25,BUSN,Control,90,,
553646826,33914,28,SOCI,Control,78,,
410518162,35050,23,APHY,Instructor Incentives,60,,
842318617,33535,19,ENGL,Control,68,,
156879162,33212,20,BUSN,Instructor Incentives,52,,
559107551,35767,32,SDEV,Control,88,,
285025508,47371,47,ACCT,Instructor Incentives,0,,
188533179,53220,20,ENGL,Control,96,,
902653099,20244,19,PSYC,Instructor Incentives,86,,
222388635,20084,19,COMM,Instructor Incentives,86,,
301750120,20076,20,PSYC,Control,0,,
979554345,44262,18,MATH,Instructor Incentives,0,,
689751632,35801,28,CRIM,Control,66,,
980277196,33374,24,ARTH,Control,76,,
881106010,35801,30,CRIM,Control,69,,
587408238,34614,18,APHY,Control,0,,
621286247,42219,20,BIOL,Control,0,,
420595898,20245,19,PSYC,Instructor Incentives,0,,
855852113,46250,24,HLHS,Control,37,,
378428731,36056,42,ENGL,Control,64,,
672982114,34610,40,APHY,Control,64,,
346382191,36669,19,COMM,Control,0,,
601667322,33535,19,ENGL,Control,0,,
472678510,35394,19,MATH,Instructor Incentives,63,,
607349334,20105,18,PSYC,Instructor Incentives,92,,
446402871,20244,19,PSYC,Instructor Incentives,0,,
870500189,35896,19,ENGL,Control,44,,
182861073,34959,28,MATH,Control,47,,
117007162,34690,49,BUSN,Control,88,,
999927738,46897,19,PSYC,Instructor Incentives,38,,
931314309,44206,24,APHY,Control,93,,
795036128,20103,19,PSYC,Instructor Incentives,58,,
726673620,45097,26,ENGL,Instructor Incentives,72,,
265929097,42784,19,MATH,Control,0,,
824495491,20103,25,PSYC,Instructor Incentives,60,,
741924198,44327,20,PSYC,Control,100,,
975438297,46710,19,SOCI,Control,71,,
892710480,46457,20,ACCT,Instructor Incentives,47,,
234083086,34300,19,PSYC,Instructor Incentives,78,,
391977434,45068,19,ENGL,Control,88,,
962743139,34582,18,HLHS,Instructor Incentives,76,,
753026071,36685,17,ENGL,Instructor Incentives,0,,
614232598,34708,19,ENGL,Instructor Incentives,68,,
418961359,33386,19,ENGL,Control,64,,
827360892,44070,19,ENGL,Control,0,,
212778501,30495,18,APHY,Control,0,,
980783570,46256,31,HLHS,Instructor Incentives,74,,
440892985,45097,28,ENGL,Instructor Incentives,0,,
330285561,20084,18,COMM,Instructor Incentives,0,,
862800985,45948,21,HLHS,Control,98,,
512972281,35896,21,ENGL,Control,84,,
426591956,20134,19,MATH,Instructor Incentives,50,,
747982192,45043,19,COMM,Instructor Incentives,76,,
605911882,46250,41,HLHS,Control,83,,
863642759,44002,21,PSYC,Instructor Incentives,54,,
541519653,20234,19,ENGL,Instructor Incentives,88,,
253816521,20085,27,COMM,Control,56,,
490764800,43514,31,BOAT,Instructor Incentives,0,,
925544930,20129,23,BIOL,Control,80,,
321875272,34615,32,APHY,Instructor Incentives,0,,
709792896,34664,24,COMM,Control,0,,
404439221,34630,21,APHY,Control,73,,
922648200,20245,20,PSYC,Instructor Incentives,0,,
337893796,47203,21,BUSN,Instructor Incentives,78,,
479761528,44704,19,ENGL,Control,0,,
360703064,47145,49,BUSN,Control,84,,
596838343,34159,22,ACCT,Instructor Incentives,0,,
905754954,35675,21,CRIM,Instructor Incentives,69,,
834030943,35800,33,CRIM,Instructor Incentives,79,,
379586958,35168,20,ENGL,Instructor Incentives,76,,
173294434,44347,19,ENGL,Control,80,,
109209829,35973,20,BUSN,Instructor Incentives,81,,
149850991,34666,23,COMM,Control,0,,
180276359,44012,24,COMM,Control,0,,
653212865,44325,19,SOCI,Control,62,,
365315539,20082,21,SOCI,Control,67,,
732989458,42880,20,MATH,Instructor Incentives,70,,
482303818,20030,20,ENGL,Control,68,,
493718895,44018,19,COMM,Control,46,,
444629233,39600,18,ENGL,Instructor Incentives,92,,
627180572,35991,22,BUSN,Instructor Incentives,75,,
788259839,47371,35,ACCT,Instructor Incentives,81,,
815037475,20244,18,PSYC,Instructor Incentives,74,,
563116702,33580,21,SOCI,Control,78,,
567859943,42893,20,MATH,Instructor Incentives,90,,
379264501,20106,19,PSYC,Instructor Incentives,74,,
315546435,42068,20,ENGL,Control,76,,
420595898,35178,19,ENGL,Instructor Incentives,52,,
346137472,42028,19,COMM,Instructor Incentives,96,,
355717808,44262,20,MATH,Instructor Incentives,53,,
605673276,20020,20,ARTH,Instructor Incentives,60,,
694584553,45085,19,ENGL,Control,0,,
119929859,35160,23,ENGL,Instructor Incentives,96,,
691911914,34300,19,PSYC,Instructor Incentives,48,,
540142764,35767,30,SDEV,Control,97,,
638260355,44018,20,COMM,Control,64,,
139805129,20245,19,PSYC,Instructor Incentives,88,,
166760770,20030,23,ENGL,Control,0,,
407450460,34609,18,APHY,Control,0,,
532678877,44704,35,ENGL,Control,0,,
217270049,46702,18,SOCI,Control,0,,
532220590,34893,19,MATH,Control,53,,
578206618,34581,20,HLHS,Instructor Incentives,76,,
782086603,34712,23,ENGL,Control,68,,
774199368,39089,19,SOCI,Control,69,,
638419059,30559,21,BIOL,Control,77,,
802116076,34305,22,ARTH,Control,51,,
136324482,53410,36,ENGL,Control,84,,
200369969,44704,19,ENGL,Control,0,,
