"","under_pressure"
"276",-17.2978995024117
"277",-15.4613565812017
"278",-14.3226895170583
"279",-14.9894897777711
"280",-15.4372413065419
"281",-15.0959273889673
"282",-15.5491591867309
"283",-16.3012262367027
"284",-15.2676377493036
"285",-13.4304435086722
"286",-15.0919453602514
"287",-12.0473055519509
"288",-13.213818711523
"289",-15.2053863116404
"290",-14.2836252597321
"291",-13.6730744737255
"292",-15.4850413072654
"293",-14.8335467502462
"294",-15.1147230428934
"295",-13.2698086989401
"296",-13.4691080547422
"297",-11.3602707979686
"298",-11.2220036500816
"299",-11.5392212521839
"300",-10.6853324450613
"301",-9.32774632710905
"302",-12.6054678744161
"303",-13.019674122846
"304",-13.5374236356286
"305",-12.0951628477743
"306",-10.5533427311379
"307",-8.48525996002446
"308",-9.07787862225557
"309",-11.2326262633213
"310",-8.88515682339299
"311",-10.6035102567904
"312",-11.0865324714901
"313",-10.795792765877
"314",-9.69241317911155
"315",-10.8639680975957
"316",-10.0513203176071
"317",-8.58504720945456
"318",-8.15421226381939
"319",-8.11968453925937
"320",-1.85713350762715
"321",0.838674021657703
"322",0.667876627953553
"323",-0.652253800925406
"324",-2.5041429649172
"325",1.3633186047331
"326",5.94892198775471
"327",9.77290505037878
"328",10.3331973100696
"329",9.49444899545169
"330",9.21791835966206
"331",10.1209942779086
"332",11.1104621162443
"333",11.9206063003006
"334",12.0626338479158
"335",12.2740772410585
"336",13.0762359309758
"337",13.639028237451
"338",12.8245628258385
"339",13.4060998789876
"340",12.8521950788148
"341",12.4121567071244
"342",12.7655742751379
"343",11.7043382947957
"344",11.784417479783
"345",11.8403591940778
"346",13.1166184383381
"347",12.3142207619189
"348",10.5364816858763
"349",8.96092580120398
"350",7.30613682966188
"351",4.13345553931968
"352",2.12979483387207
"353",4.6178086631393
"354",12.5035058370796
"355",14.3378261515566
"356",14.5835091232003
"357",13.5319481582858
"358",14.1989796858562
"359",14.9179983364457
"360",13.6301061111413
"361",14.8658324596937
"362",14.7110859745708
"363",13.8892161944244
"364",14.1551085364167
"365",14.0032891408577
"366",12.9058362372054
"367",12.1943854146154
"368",12.4006006622351
"369",12.6754377364846
"370",13.552162832958
"371",14.2485440122557
"372",14.2775896591534
"373",14.5385210993236
"374",9.34093222540218
"375",0.105489616082148
"376",-4.04570073921887
"377",-6.21900641198331
"378",-11.0994091403862
"379",-8.22015165459248
"380",-4.83593575922039
"381",-3.24922665264728
"382",-4.90488855354274
"383",-4.03091856753373
"384",-2.69944213700021
"385",-2.37486179321555
"386",-1.84942304848003
"387",-1.57669567299802
"388",-1.73288748179456
"389",-0.751659370926686
"390",0.766878959900195
"391",0.637201617397741
"392",2.44948769548771
"393",1.8050382155869
"394",2.47195059026171
"395",2.65219453184611
"396",1.22616430761355
"397",1.68742078749321
"398",2.73920883285815
"399",2.73923791107002
"400",3.74520980778403
"401",3.96657555823217
"402",2.64794373466166
"403",0.569278835617676
"404",-1.20323024440697
"405",1.98170783619794
"406",5.26583189746525
"407",7.1212900856026
"408",7.72005414911304
"409",8.3492768733319
"410",5.17107461171117
"411",2.71929966683086
"412",1.0508847815063
"413",-1.46930776749665
"414",-0.0686794902143266
"415",0.120427774588735
"416",1.26588014071375
"417",2.0664292413095
"418",6.44644831767878
"419",9.07005410828383
"420",9.8242140818506
